  1 /*************************************************************************************************************************
  2 CoreNet Database Copyright 2010 by SWRC, KAIST
  3 Description : 한국어 동사 격틀, koVerbFrame.dat
  4 CoreNet database is providing in the following tab delimited text format.
  5 idx vocnum semnum nttnum songsem pos songdef sentpattern chinese japanese korean n1con n1conn n1hyper n1noun n1japanese n1josa n2con n2conn n2hyper n2noun n2japanese n2josa n3con n3conn n3hyper n3noun n3japanese n3josa n4con n4conn n4hyper n4noun n4japanese n4josa
  6  idx : 각 데이터의 고유 순번
  7  vocnum : 동음 형용사에 대한 표제어 구분 순번
  8  semnum : 의미 구분 번호
  9  nttnum : NTT 사전에 등록된 개념일련번호 (출판물)
  10  songsem : 송영빈 박사가 부여한 의미번호
  11  pos : 형태소 태그
  12  songdef : 송영빈 박사가 부여한 정의
  13  sentpattern : 문장 패턴
  14  chinese : 중국어
  15  japanese : 일본어
  16  korean : 한국어
  17  n1con : 첫번째 인자가 속하는 개념번호
  18  n1conn : 첫번째 인자가 속하는 KORTERM 개념번호 
  19  n1hyper : 첫번째 인자의 개념명
  20  n1noun : 첫번째 인자에 위치할 수 있는 명사 (한국어)
  21  n1japanese : 첫번째 인자에 위치할 수 있는 명사 (일본어)
  22  n1josa : 첫번째 인자에 대한 조사
  23  n2con : 두번째 인자가 속하는 개념번호
  24  n2conn : 두번째 인자가 속하는 KORTERM 개념번호 
  25  n2hyper : 두번째 인자의 개념명
  26  n2noun : 두번째 인자에 위치할 수 있는 명사 (한국어)
  27  n2japanese : 두번째 인자에 위치할 수 있는 명사 (일본어)
  28  n2josa : 두번째 인자에 대한 조사
  29  n3con : 세번째 인자가 속하는 개념번호
  30  n3conn : 세번째 인자가 속하는 KORTERM 개념번호 
  31  n3hyper : 세번째 인자의 개념명
  32  n3noun : 세번째 인자에 위치할 수 있는 명사 (한국어)
  33  n3japanese : 세번째 인자에 위치할 수 있는 명사 (일본어)
  34  n3josa : 세번째 인자에 대한 조사
  35  n4con : 네번째 인자가 속하는 개념번호
  36  n4conn : 네번째 인자가 속하는 KORTERM 개념번호 
  37  n4hyper : 네번째 인자의 개념명
  38  n4noun : 네번째 인자에 위치할 수 있는 명사 (한국어)
  39  n4japanese : 네번째 인자에 위치할 수 있는 명사 (일본어)
  40  n4josa : 네번째 인자에 대한 조사
  41 *************************************************************************************************************************/
1	0	1	122225911	1	pv-i	옮겨 움직이다		到,去,上,往,走	行く	가다	5	11111	인간			이/가																		
2	0	1	122225911	1	pv-i	옮겨 움직이다		到,去,上,往,走	行く	가다	537	1131111	포유류	말	馬	이/가																		
3	0	1	122225911	1	pv-i	옮겨 움직이다		到,去,上,往,走	行く	가다	814	1132241	실/옷감	실	糸	이/가																		
4	0	1	122225911	1	pv-i	옮겨 움직이다		到,去,上,往,走	行く	가다	950	113227422	작업도구(접속)	바늘	針	이/가																		
5	0	1	122225911	1	pv-i	옮겨 움직이다		到,去,上,往,走	行く	가다	988	11322911	탈것(본체(땅))	버스	バス	이/가																		
6	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	5	11111	인간			이/가							2644	123882	오른쪽	오른쪽	右側	에/에게/로						
7	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	5	11111	인간			이/가							409	1121153	극장	영화관	映画館	에/에게/로						
8	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	5	11111	인간			이/가							487	112311131	섬	제주도	済州島	에/에게/로						
9	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	5	11111	인간			이/가							5	11111	인간			에/에게/로						
10	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	5	11111	인간			이/가							868	1132261211	방	화장실	トイレ	에/에게/로						
11	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	988	11322911	탈것(본체(땅))	버스	バス	이/가							2644	123882	오른쪽	오른쪽	右側	에/에게/로						
12	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	988	11322911	탈것(본체(땅))	버스	バス	이/가							487	112311131	섬	제주도	済州島	에/에게/로						
13	0	1	122225911	10	pv-i	이동하다		到,去,上,往,走	行く	가다	988	11322911	탈것(본체(땅))	버스	バス	이/가							5	11111	인간			에/에게/로						
14	0	1	122225911	10	pv-i			到,去,上,往,走	出る	가다	988	11322911	탈것(본체(땅))	차	車	이/가	384	11124	사회	세상	世の中	에												
15	0	2	1388,1928,2174	11	pv-i	옮기다			行く	가다	5	11111	인간			이/가							237	111131121	교사	대학교수	大学教授	에/에게/로						
